subset,subset_label,window,treatment,outcome,outcome_label,panel,n_elections,first_stage_coef,first_stage_se,first_stage_pval,n_first_stage,n_outcome,rd_estimate,rd_se,rd_pval,rd_ci_lo,rd_ci_hi,bandwidth,late_estimate,late_se,late_pval,late_ci_lo,late_ci_hi
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_hog_power_vdem,Executive power (V-Dem): HOG (v2ex_hogw),exec_power_alt,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,691,0.010174334770263908,0.04068620206108643,0.8025344278221769,-0.0695691559371848,0.0899178254777126,17.833893774064535,-0.0753573284855468,0.8082848039575145,0.9257199214622472,-1.659566433493293,1.5088517765221992
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_polyarchy,V-Dem high-level democracy indices: Electoral (polyarchy),vdem_high,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,691,-0.0243694722019768,0.031315675187644956,0.43645838661350306,-0.08574706772131549,0.03700812331736189,25.817549780157776,0.046141359566715945,1.302532702455122,0.9717413774450465,-2.5067758259309487,2.5990585450643806
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_libdem,V-Dem high-level democracy indices: Liberal,vdem_high,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,691,-0.01255067541465264,0.029223404030865943,0.6675787296362065,-0.0698274948208125,0.04472614399150723,24.35984995583417,-0.026143814236652532,0.9047382006992276,0.9769470957798809,-1.7993981030447093,1.7471104745714041
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_partipdem,V-Dem high-level democracy indices: Participatory,vdem_high,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,691,-0.0042234323843518985,0.023757138893265455,0.8588994497013873,-0.050786568990867934,0.04233970422216414,24.920344241657325,-0.11380679965242535,0.6313836532287606,0.8569564359860866,-1.3512960204081224,1.1236824211032714
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_delibdem,V-Dem high-level democracy indices: Deliberative,vdem_high,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,691,-0.0033670864434152056,0.03201355544484724,0.9162354420616251,-0.06611250213239192,0.059378329245561516,23.87512129621489,-0.11562271548044215,0.8505446976004999,0.8918690209251032,-1.7826596900189327,1.5514142590580484
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_egaldem,V-Dem high-level democracy indices: Egalitarian,vdem_high,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,691,-0.002047808467982924,0.021217392465359874,0.9231111183044802,-0.04363313354593976,0.03953751660997392,23.605980438078397,-0.08395212221697178,0.5412329064334224,0.8767324341318219,-1.144749126074416,0.9768448816404726
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_elecoff,V-Dem mid-level: electoral component: Elected officials,vdem_electoral,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,691,-0.06366965435617851,0.06863288132359514,0.353571295131737,-0.19818762990563665,0.07084832119327965,17.7209073802449,0.6646856732046728,3.3696769686644528,0.8436279822980486,-5.939759824911756,7.269131171321102
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_frefair,V-Dem mid-level: electoral component: Clean elections,vdem_electoral,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,691,-0.04381696410489476,0.05251563307522526,0.4040779307078029,-0.1467457135576567,0.059111785347867166,23.3669984933219,0.352496540620274,2.6976234576281715,0.8960369274073988,-4.934748280181353,5.639741361421901
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_frassoc,V-Dem mid-level: electoral component: Association,vdem_electoral,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,691,-0.037803198987284445,0.032449720846575554,0.24402804669135766,-0.1014034831549511,0.025797085180382207,21.985337818803668,0.30730193037736936,1.7392052414882566,0.8597511029047876,-3.1014777046629,3.7160815654176385
right,Anti-pluralist party is the more RIGHT-wing of the top 2,10,backsliding_Nyr,Y_suffr,V-Dem mid-level: electoral component: Suffrage,vdem_electoral,822,-0.0772092822618328,0.08299957701457454,0.3522483590817427,822,691,0.010361646520204383,0.015870946254211173,0.5138408286833948,-0.02074483653862038,0.04146812957902915,14.987169852511526,-0.162671766464399,0.7305249556105884,0.8237861990894286,-1.5944743692688734,1.2691308363400753
