pair,row,col,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
R2 x R5,all,both,1347,173,-0.050462944442171004,0.061205218766481044,0.40966255385284633,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,0.9120982418532466,1.3877580308611601,0.5110228321809134
R2 x R5,all,presidential,397,68,-0.1921403253206318,0.15300442878647608,0.20919474040429883,397,-0.04489248181406952,0.03873323923412539,0.24644926537332176,0.22330737326747074,0.39443898628532326,0.5712991553521692
R2 x R5,all,parliamentary,950,105,0.0023893033339565384,0.06516856829293531,0.9707533665313526,950,-0.06198618244142129,0.03745739120165495,0.09795591125769221,4.439621339424483,21.242096561523677,0.8344473875575996
R2 x R5,q20 (≥ 0.144),both,1077,170,-0.035154389913744866,0.07711406965652938,0.6484797428240701,1077,-0.07129685510338736,0.036759550084140835,0.052434833445990585,1.3429616174080086,4.979586345793856,0.7873961315210507
R2 x R5,q20 (≥ 0.144),presidential,355,67,-0.22410196908851193,0.17282588999049486,0.19473714292009084,355,-0.060473030035917696,0.04260412532752662,0.15577740881713512,0.2727401484919463,0.41278915865448507,0.5087886389974927
R2 x R5,q20 (≥ 0.144),parliamentary,722,103,0.07782596151278852,0.09889264957658235,0.4312969828510917,722,-0.06720665125996972,0.054665200514348554,0.21891327555277615,-1.1821557982572954,2.8307878266145257,0.6762347398183991
R2 x R5,q40 (≥ 0.405),both,809,147,-0.026481122896962223,0.09491383283555427,0.7802435024937049,809,-0.08259890302898712,0.04421676354194732,0.061755802012374315,-15.051111992339766,54.27918625926216,0.7815569220982667
R2 x R5,q40 (≥ 0.405),presidential,285,56,-0.2909396569213831,0.25075767058111403,0.2459501685186743,285,-0.0813755649335911,0.04121990020925326,0.04836110739859471,0.3299688651243368,0.7804721656481662,0.672454992941597
R2 x R5,q40 (≥ 0.405),parliamentary,524,91,0.1123548254518035,0.13368771048797748,0.40066874756862464,524,-0.07601365498434912,0.0622309836738592,0.22190583519240567,-0.8595552983922338,1.2801434099051698,0.5019324063137027
R2 x R5,q60 (≥ 0.705),both,542,89,0.06156140308438671,0.11792827398523992,0.6016535390799712,542,-0.1593575848962559,0.08554486963132094,0.06248283926399296,-3.1620772053991804,3.9803559514422187,0.42695055093384965
R2 x R5,q60 (≥ 0.705),presidential,189,36,-0.5401660164241284,0.32642235087924243,0.0979636379239318,189,-0.07328690008579195,0.05482099436352604,0.18127485754008124,0.10204913557992855,0.2755627189432117,0.7111366400860447
R2 x R5,q60 (≥ 0.705),parliamentary,353,53,0.16880030140444585,0.17611580221073606,0.33782985182457526,353,-0.1940920275338006,0.11619104251786913,0.09482917211494041,-2.4922276604218045,2.730883126121454,0.3614483845804493
R2 x R5,q80 (≥ 0.9),both,275,29,0.09873517407673149,0.1898681462438829,0.603049853268607,275,-0.27352539274730964,0.14318402642685213,0.05609374665103389,0.14312625754775343,28.370782952407794,0.9959748115892224
R2 x R5,q80 (≥ 0.9),presidential,86,11,-0.8341000053567047,0.6763147975624105,0.21746332546546482,86,-0.13603664332562418,0.1760423834519329,0.4396707142565624,0.14908046990034787,0.29521764484512375,0.613569401169887
R2 x R5,q80 (≥ 0.9),parliamentary,189,18,0.06000401687644089,0.12821294901895977,0.6397825999782258,189,-0.38723341184105575,0.2497237444783039,0.1209862670313641,-27.72294414999816,226.56002232535837,0.9026102112276082
