country_name,aut_ep_id,ep_start,ep_end,start_year_used,outcome_label,prch_label,miss_reason
Afghanistan,AFG_2021_2025,2021,2025,2021,Autocracy deepening,No,Election(s) in window never scored (top-2/party/V-Party match failed)
Kuwait,KWT_2021_2025,2021,2025,2021,Autocracy deepening,No,Country has no elections in the spine at all
Burma/Myanmar,MMR_2021_2025,2021,2025,2021,Autocracy deepening,No,Matched
Romania,ROU_2021_2025,2021,2025,2021,Ongoing,Yes,Matched
Senegal,SEN_2021_2025,2021,2025,2021,Ongoing,Yes,Matched
Ukraine,UKR_2021_2025,2021,2025,2021,Ongoing,Yes,Matched
Guinea-Bissau,GNB_2022_2022,2022,2022,2022,Democratic breakdown,Yes,Matched
Moldova,MDA_2023_2025,2023,2025,2023,Ongoing,Yes,Matched
Madagascar,MDG_2023_2025,2023,2025,2023,Autocracy deepening,No,Matched
Slovakia,SVK_2023_2025,2023,2025,2023,Ongoing,Yes,Matched
Slovenia,SVN_2023_2025,2023,2025,2023,Ongoing,Yes,Matched
Argentina,ARG_2024_2025,2024,2025,2024,Ongoing,Yes,Election(s) in window never scored (top-2/party/V-Party match failed)
Guinea-Bissau,GNB_2024_2025,2024,2025,2024,Autocracy deepening,No,Shadowed by a closer episode in the same election's window
United States of America,USA_2024_2025,2024,2025,2024,Ongoing,Yes,Matched
